Class,LeftX,LeftY,LeftZ,LeftThumb,LeftIndex,LeftMiddle,LeftRing,LeftPinky,leftSpeed,leftConf,leftPitch,LeftYaw,LeftRoll,leftThumbExt,leftIndexExt,leftMiddleExt,leftRingExt,leftPinkyExt,RightX,RightY,RightZ,RightThumb,RightIndex,RightMiddle,RightRing,RightPinky,rightSpeed,rightConf,rightPitch,rightYaw,rightRoll,rightThumbExt,rightIndexExt,rightMiddleExt,rightRingExt,rightPinkyExt,HandDist
discrete,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete,discrete,discrete,continuous
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.1383391,0.1551811,-0.01549795,0.07456007,0.0870918,0.0950495,0.09000251,0.07855152,0.006407464,0.01966612,2.772661,2.930056,1.293656,True,True,True,True,True,0.1180172,0.1978213,-0.02962496,0.2144346,0.2546015,0.263089,0.2677327,0.2702101,0.006407464,0.06593014,2.720999,-3.066376,-1.775135,True,True,True,True,True,0.260262
,-0.1298261,0.1577505,-0.004762867,0.07511861,0.08715874,0.09462544,0.09038475,0.07919265,0.5276219,0.1328919,2.830879,2.878242,1.66539,True,True,True,True,True,0.1115749,0.2048634,-0.02620516,0.2090329,0.2609932,0.2598118,0.2622686,0.2591319,0.5276219,0.1181141,2.686343,-3.06076,-1.738037,True,True,True,True,True,0.2468883
,-0.1231074,0.1696076,0.0006125834,0.07435457,0.09018388,0.09764926,0.09272335,0.08062591,0.2404809,0.153853,2.8445,2.812005,1.578378,True,True,True,True,True,0.1093154,0.2146616,-0.02643551,0.2045985,0.2492053,0.2486197,0.2501524,0.2478726,0.2404809,0.1303646,2.582082,-3.096648,-1.530763,True,True,True,True,True,0.2382894
,-0.1159661,0.1730172,0.007119132,0.07494609,0.09163758,0.09867652,0.09324258,0.07981849,0.3132618,0.1473088,2.827066,2.770628,1.382275,True,True,True,True,True,0.1047352,0.2191747,-0.02665175,0.1833978,0.2214873,0.2286226,0.2333673,0.2327552,0.3132618,0.1725146,2.502404,-3.09937,-1.319177,True,True,True,True,True,0.2279913
,-0.1055233,0.1678632,0.01391475,0.07061406,0.0899395,0.09773403,0.09075221,0.0759132,0.3058212,0.1693441,2.765883,2.716499,0.9147619,True,True,True,True,True,0.0939404,0.2293594,-0.03280162,0.1489212,0.186435,0.1987559,0.2135684,0.2246708,0.3058212,0.1331732,2.338254,-3.092251,-1.143923,True,True,False,False,False,0.2138924
,-0.09619605,0.1631669,0.01584734,0.05694075,0.08480253,0.08331007,0.07409543,0.06160335,0.3562474,0.09745439,2.707386,2.621871,0.2657278,True,True,False,False,False,0.05676373,0.231483,-0.0413945,0.1396484,0.1640256,0.1826297,0.2012125,0.2122308,0.3562474,0.06146143,2.280903,-2.786925,-0.9105278,True,False,False,False,False,0.1770322
,-0.08464083,0.158625,0.0282276,0.05816422,0.0600623,0.04776084,0.04390537,0.03999703,0.4029689,0.01980717,2.72518,2.706633,0.2926278,False,False,False,False,False,0.001701468,0.2228279,-0.05188536,0.1268342,0.1468681,0.1524124,0.1621605,0.1677535,0.4029689,0.009215341,2.360096,-2.3476,-0.5855482,False,False,False,False,False,0.1341458
,-0.06947791,0.1510282,0.03651414,0.06023668,0.04119113,0.03541014,0.0351908,0.03549211,0.1879206,0.1027254,2.789207,2.680436,0.2536689,True,False,False,False,False,-0.02196321,0.1993824,-0.06320211,0.1245768,0.1306531,0.1326464,0.1415643,0.1466186,0.1879206,0.07704868,3.01881,-2.224774,-0.05285723,False,False,False,False,False,0.1205782
