Class,LeftX,LeftY,LeftZ,LeftThumb,LeftIndex,LeftMiddle,LeftRing,LeftPinky,leftSpeed,leftConf,leftPitch,LeftYaw,LeftRoll,leftThumbExt,leftIndexExt,leftMiddleExt,leftRingExt,leftPinkyExt,RightX,RightY,RightZ,RightThumb,RightIndex,RightMiddle,RightRing,RightPinky,rightSpeed,rightConf,rightPitch,rightYaw,rightRoll,rightThumbExt,rightIndexExt,rightMiddleExt,rightRingExt,rightPinkyExt,HandDist
discrete,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete,discrete,discrete,continuous
class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who,-0.1102935,0.1992,-0.1050799,0.07211154,0.08829886,0.09545917,0.08873072,0.0767446,0.01476777,0.02763372,2.476046,2.771509,0.8822059,True,True,True,True,True,0.03117395,0.2925686,-0.0889992,0.1088178,0.1073384,0.1252608,0.1513562,0.1752852,0.01476777,0.008341368,2.373655,-2.842512,-1.222517,False,True,False,False,False,0.1702625
Who,-0.1079226,0.1883832,-0.09849955,0.07260533,0.08747214,0.09535696,0.0885715,0.07673559,0.3633348,0.1408396,2.473941,2.718759,0.844423,True,True,True,True,True,0.03091743,0.2937332,-0.08916149,0.1145497,0.1152975,0.1291063,0.1541246,0.1792633,0.3633348,0.006896459,2.372334,-2.838048,-1.215985,True,True,False,False,False,0.1745348
Who,-0.1061058,0.1781608,-0.09168576,0.07155569,0.08669871,0.09200361,0.08389322,0.07136489,0.234373,0.177343,2.487121,2.671775,0.7993985,True,True,True,True,True,0.0301927,0.2956599,-0.09022114,0.1224151,0.1235742,0.1365012,0.161269,0.184543,0.234373,4.387088E-05,2.363077,-2.829373,-1.207338,False,True,False,False,False,0.1799597
Who,-0.104988,0.1653529,-0.09029819,0.07206637,0.08301523,0.08692715,0.07887255,0.06422386,0.2227998,0.1525224,2.545886,2.661096,0.8039298,True,True,False,False,False,0.02903117,0.2987886,-0.09220736,0.1382449,0.1394423,0.1514223,0.1766714,0.1971588,0.2227998,0,2.343211,-2.806054,-1.186267,False,True,False,False,False,0.1891293
Who,-0.1054221,0.1508075,-0.09592962,0.07232902,0.06236435,0.06219034,0.05602634,0.04731718,0.523059,0.01418388,2.522267,2.621768,0.8117222,True,False,False,False,False,0.02954618,0.2989321,-0.09247844,0.159832,0.1670269,0.1816895,0.1990273,0.2132168,0.523059,0,2.371146,-2.819465,-1.226829,False,True,False,False,False,0.2004227
Who,-0.09236012,0.1220141,-0.1060375,0.06346205,0.06320271,0.06230566,0.05464382,0.04546916,0.802534,0,2.770545,2.279329,0.5174224,True,False,False,False,False,0.03062637,0.2977589,-0.09280642,0.1961354,0.2027257,0.2181108,0.2306509,0.2402624,0.802534,0.004814283,2.38511,-2.832962,-1.258608,False,True,False,False,False,0.2149116
Who,,,,,,,,,,,,,,,,,,,0.03102249,0.2978872,-0.09422176,0.05336862,0.08589289,0.04788294,0.03598595,0.03565845,0.04617726,0,2.399427,-2.821399,-1.30335,False,True,False,False,False,0
Who,,,,,,,,,,,,,,,,,,,0.03084444,0.2967338,-0.09591997,0.0516766,0.08648984,0.04494429,0.03628426,0.03591091,0.0444856,0,2.43481,-2.794414,-1.361372,False,True,False,False,False,0
