Class,LeftX,LeftY,LeftZ,LeftThumb,LeftIndex,LeftMiddle,LeftRing,LeftPinky,leftSpeed,leftConf,leftPitch,LeftYaw,LeftRoll,leftThumbExt,leftIndexExt,leftMiddleExt,leftRingExt,leftPinkyExt,RightX,RightY,RightZ,RightThumb,RightIndex,RightMiddle,RightRing,RightPinky,rightSpeed,rightConf,rightPitch,rightYaw,rightRoll,rightThumbExt,rightIndexExt,rightMiddleExt,rightRingExt,rightPinkyExt,HandDist
discrete,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete,discrete,discrete,continuous
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.0740999,0.1334848,-0.03872604,0.06358572,0.07682171,0.0776118,0.07002854,0.05920088,0.0001065923,0.005214348,2.258349,2.365115,0.7037158,True,False,False,False,False,0.05143667,0.2507963,-0.08549503,0.1379413,0.1365861,0.1499182,0.1699616,0.1870446,0.0001065923,0,2.587334,-2.550556,-0.3581292,False,False,False,False,False,0.1780695
,-0.05835,0.1358102,-0.00803007,0.06458887,0.08704222,0.09241772,0.08543638,0.07375793,0.8083958,0.07170967,2.45717,2.411574,0.5290561,True,True,True,True,True,0.04169281,0.2684899,-0.09996308,0.1600814,0.1795999,0.1934511,0.2127332,0.2263383,0.8083958,0,2.471967,-2.518792,-0.3563805,True,False,False,False,False,0.1899056
,-0.03891041,0.1372371,0.01836269,0.06942748,0.08956116,0.094593,0.08763164,0.07706698,0.5400736,0.1134269,2.650946,2.470878,0.3520207,True,True,True,True,True,0.03241667,0.2836989,-0.12562,0.2073585,0.2409159,0.2568179,0.2694491,0.2753262,0.5400736,0,2.144165,-2.443408,-0.6456129,True,False,False,False,False,0.2174158
,-0.02354035,0.1379446,0.03277372,0.06963728,0.09247632,0.09723433,0.08971626,0.07866187,0.3688587,0.1344395,2.788974,2.432496,0.1747975,True,True,True,True,True,0.00570747,0.2708296,-0.1304639,0.2241567,0.2545578,0.2732665,0.279707,0.2779097,0.3688587,0,2.093458,-2.255121,-0.5810102,False,False,False,False,False,0.2125097
,-0.01231682,0.1415109,0.04168569,0.06994482,0.0933833,0.097243,0.08918921,0.07843263,0.2197502,0.1479902,2.901646,2.40471,0.02174914,True,True,True,True,True,-0.01272538,0.2315592,-0.1103829,0.1985592,0.2385014,0.2546369,0.2563527,0.2500426,0.2197502,0,2.449754,-2.277606,-0.1974352,False,False,False,False,False,0.1767307
,-0.00583982,0.1453358,0.04550106,0.0689661,0.09246241,0.09572481,0.08746327,0.07709447,0.1223722,0.163944,2.966302,2.404031,-0.05686384,True,True,True,True,True,-0.008603876,0.214876,-0.09301844,0.1777216,0.2238423,0.2372037,0.2371152,0.2298984,0.1223722,0,2.823334,-2.295249,0.0812389,False,False,False,False,False,0.1550197
,-0.0013547,0.1489097,0.04683676,0.06790221,0.09220188,0.09537799,0.08716368,0.07664304,0.1095135,0.185288,3.007731,2.399458,-0.09437378,True,True,True,True,True,0.00769877,0.2515302,-0.08731215,0.1940978,0.2333766,0.2472233,0.2474112,0.2401873,0.1095135,0,2.46345,-2.372579,-0.1643551,False,False,False,False,False,0.1691415
,0.001220169,0.1522825,0.04571013,0.06708308,0.09126839,0.09457026,0.08640683,0.07595683,0.07757547,0.1987836,3.015781,2.40156,-0.08156358,True,True,True,True,True,0.0249564,0.2801609,-0.09531824,0.211759,0.2508073,0.2651315,0.2666869,0.2609954,0.07757547,0,2.216529,-2.508727,-0.4488004,False,False,False,False,False,0.1918471
