Class,LeftX,LeftY,LeftZ,LeftThumb,LeftIndex,LeftMiddle,LeftRing,LeftPinky,leftSpeed,leftConf,leftPitch,LeftYaw,LeftRoll,leftThumbExt,leftIndexExt,leftMiddleExt,leftRingExt,leftPinkyExt,RightX,RightY,RightZ,RightThumb,RightIndex,RightMiddle,RightRing,RightPinky,rightSpeed,rightConf,rightPitch,rightYaw,rightRoll,rightThumbExt,rightIndexExt,rightMiddleExt,rightRingExt,rightPinkyExt,HandDist
discrete,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete,discrete,discrete,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete,discrete,discrete,continuous
class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who,-0.1129953,0.1567719,-0.09901411,0.0739945,0.08453685,0.08752421,0.08153538,0.06937198,2.041848E-06,0.03448065,2.389125,2.564068,0.6679997,True,True,True,True,True,0.0471955,0.2618871,-0.06005855,0.1501449,0.121198,0.1305379,0.1544373,0.1793136,2.041848E-06,0.06940351,2.530282,-2.932422,-1.318173,True,True,False,False,False,0.1955194
Who,-0.1133146,0.1589066,-0.09293162,0.0725913,0.08685829,0.09169469,0.08491657,0.07233416,0.304856,0.06853554,2.375582,2.552622,0.6470479,True,True,True,True,True,0.0466046,0.2622632,-0.06111719,0.1445492,0.1186744,0.1288665,0.1533324,0.1771094,0.304856,0.06186926,2.52537,-2.937137,-1.319475,True,True,False,False,False,0.1930515
Who,-0.1119892,0.1715063,-0.0765917,0.07462217,0.08763117,0.09437006,0.08831885,0.07641512,0.3846601,0.1114971,2.309083,2.534189,0.5992897,True,True,True,True,True,0.04586858,0.2630349,-0.06300494,0.1302727,0.1166282,0.1265275,0.151617,0.1774413,0.3846601,0.05542538,2.507763,-2.937888,-1.319481,True,True,False,False,False,0.1829786
Who,-0.1096152,0.1759244,-0.06069142,0.0758873,0.0877157,0.0953403,0.08914135,0.0769373,0.3323395,0.1556982,2.30273,2.53288,0.5817537,True,True,True,True,True,0.04537467,0.2645864,-0.06443015,0.1237758,0.1210276,0.131096,0.1558239,0.1801803,0.3323395,0.05438254,2.489845,-2.944479,-1.32142,True,True,False,False,False,0.1785967
Who,-0.1051067,0.1673406,-0.04288157,0.07591788,0.08788037,0.09529352,0.08887087,0.07565162,0.4791202,0.1547828,2.395704,2.579599,0.6083096,True,True,True,True,True,0.04564238,0.2657683,-0.06610741,0.1226123,0.135697,0.1483192,0.1715103,0.190737,0.4791202,0.05939688,2.491947,-2.954211,-1.328979,False,True,False,False,False,0.1815289
Who,-0.0994679,0.1528815,-0.03230593,0.07405828,0.08289278,0.08790784,0.0801063,0.0649386,0.2500849,0.135688,2.561,2.632338,0.7837489,True,True,True,True,False,0.04633693,0.2679462,-0.06815215,0.1255898,0.1495564,0.1608048,0.182939,0.1999847,0.2500849,0.03038172,2.473551,-2.956637,-1.319536,False,True,False,False,False,0.1891663
Who,-0.09210723,0.1274942,-0.05200759,0.07580235,0.0499704,0.05203152,0.04913486,0.04410991,1.43687,0,2.766976,2.392528,0.9204899,True,False,False,False,False,0.04706029,0.2692917,-0.06847379,0.1448645,0.1720434,0.1838915,0.1978613,0.211312,1.43687,0.08680506,2.511171,-2.952322,-1.388461,False,True,False,False,False,0.1993622
Who,,,,,,,,,,,,,,,,,,,0.04716578,0.2721313,-0.07155088,0.05955834,0.08613437,0.03778213,0.03434624,0.03581458,0.04963207,0.04914393,2.473513,-2.930882,-1.340362,False,True,False,False,False,0
